date,close
2023-12-20,117.15625
2023-12-21,116.984375
2023-12-22,116.84375
2023-12-26,117.0625
2023-12-27,117.953125
2023-12-28,117.375
2023-12-29,117.28125
2024-01-02,116.453125
2024-01-03,116.8125
2024-01-04,116.015625
2024-01-05,115.5625
2024-01-08,115.890625
2024-01-09,115.734375
2024-01-10,115.625
2024-01-11,116.109375
2024-01-12,116.34375
2024-01-15,116.34375
2024-01-16,115.28125
2024-01-17,114.921875
2024-01-18,114.5625
2024-01-19,114.53125
2024-01-22,114.984375
2024-01-23,114.796875
2024-01-24,114.453125
2024-01-25,114.875
2024-01-26,114.578125
2024-01-29,115.3125
2024-01-30,115.625
2024-01-31,116.46875
2024-02-01,117.53125
2024-02-02,115.953125
2024-02-05,114.71875
2024-02-06,115.359375
2024-02-07,115.203125
2024-02-08,114.53125
2024-02-09,114.359375
2024-02-12,114.515625
2024-02-13,113.796875
2024-02-14,114.25
2024-02-15,114.46875
2024-02-16,113.921875
2024-02-19,113.921875
2024-02-20,114.078125
2024-02-21,113.65625
2024-02-22,113.625
2024-02-23,114.234375
2024-02-26,113.875
2024-02-27,113.75
2024-02-28,114.109375
2024-02-29,114.3125
2024-03-01,114.953125
2024-03-04,114.59375
2024-03-05,115.34375
2024-03-06,115.625
2024-03-07,115.75
2024-03-08,115.78125
2024-03-11,115.609375
2024-03-12,115.15625
2024-03-13,114.84375
2024-03-14,113.890625
2024-03-15,113.8125
2024-03-18,113.484375
2024-03-19,113.875
2024-03-20,114.109375
2024-03-21,114.09375
2024-03-22,114.546875
2024-03-25,114.265625
2024-03-26,114.421875
2024-03-27,114.734375
2024-03-28,114.75
2024-04-01,113.546875
2024-04-02,113.234375
2024-04-03,113.3125
2024-04-04,113.703125
2024-04-05,113.09375
2024-04-08,112.6875
2024-04-09,113.203125
2024-04-10,111.484375
2024-04-11,111.359375
2024-04-12,112.0
2024-04-15,110.90625
2024-04-16,110.640625
2024-04-17,111.28125
2024-04-18,110.734375
2024-04-19,111.015625
2024-04-22,110.9375
2024-04-23,111.171875
2024-04-24,110.703125
2024-04-25,110.328125
2024-04-26,110.640625
2024-04-29,111.125
2024-04-30,110.5
2024-05-01,111.234375
2024-05-02,111.421875
2024-05-03,112.03125
2024-05-06,112.15625
2024-05-07,112.40625
2024-05-08,112.15625
2024-05-09,112.453125
2024-05-10,111.96875
2024-05-13,112.171875
2024-05-14,112.46875
2024-05-15,113.296875
2024-05-16,113.109375
2024-05-17,112.703125
2024-05-20,112.546875
2024-05-21,112.75
2024-05-22,112.578125
2024-05-23,112.203125
2024-05-24,112.21875
2024-05-27,112.21875
2024-05-28,111.625
2024-05-29,110.90625
2024-05-30,111.5
2024-05-31,111.828125
2024-06-03,112.84375
2024-06-04,113.421875
2024-06-05,113.84375
2024-06-06,113.90625
2024-06-07,112.5625
2024-06-10,112.203125
2024-06-11,112.796875
2024-06-12,113.8125
2024-06-13,114.328125
2024-06-14,114.5625
2024-06-17,113.96875
