date,close
2023-12-20,114.453125
2023-12-21,114.40625
2023-12-22,114.28125
2023-12-26,114.46875
2023-12-27,114.96875
2023-12-28,114.578125
2023-12-29,114.65625
2024-01-02,114.03125
2024-01-03,114.265625
2024-01-04,113.703125
2024-01-05,113.421875
2024-01-08,113.765625
2024-01-09,113.609375
2024-01-10,113.59375
2024-01-11,114.0625
2024-01-12,114.296875
2024-01-15,114.296875
2024-01-16,113.53125
2024-01-17,113.0625
2024-01-18,112.828125
2024-01-19,112.765625
2024-01-22,113.15625
2024-01-23,112.859375
2024-01-24,112.65625
2024-01-25,113.015625
2024-01-26,112.71875
2024-01-29,113.21875
2024-01-30,113.34375
2024-01-31,114.078125
2024-02-01,114.6875
2024-02-02,113.40625
2024-02-05,112.46875
2024-02-06,113.0
2024-02-07,112.90625
2024-02-08,112.421875
2024-02-09,112.25
2024-02-12,112.390625
2024-02-13,111.25
2024-02-14,111.640625
2024-02-15,111.8125
2024-02-16,111.359375
2024-02-19,111.359375
2024-02-20,111.5625
2024-02-21,111.234375
2024-02-22,111.109375
2024-02-23,111.5
2024-02-26,111.21875
2024-02-27,111.078125
2024-02-28,111.375
2024-02-29,111.46875
2024-03-01,112.03125
2024-03-04,111.75
2024-03-05,112.265625
2024-03-06,112.390625
2024-03-07,112.578125
2024-03-08,112.671875
2024-03-11,112.484375
2024-03-12,112.0625
2024-03-13,111.84375
2024-03-14,111.140625
2024-03-15,111.046875
2024-03-18,110.78125
2024-03-19,111.09375
2024-03-20,111.40625
2024-03-21,111.296875
2024-03-22,111.671875
2024-03-25,111.375
2024-03-26,111.5
2024-03-27,111.78125
2024-03-28,111.671875
2024-04-01,110.78125
2024-04-02,110.5625
2024-04-03,110.640625
2024-04-04,110.984375
2024-04-05,110.46875
2024-04-08,110.09375
2024-04-09,110.46875
2024-04-10,109.0
2024-04-11,108.90625
2024-04-12,109.5
2024-04-15,108.640625
2024-04-16,108.421875
2024-04-17,108.90625
2024-04-18,108.453125
2024-04-19,108.640625
2024-04-22,108.59375
2024-04-23,108.8125
2024-04-24,108.46875
2024-04-25,108.09375
2024-04-26,108.3125
2024-04-29,108.6875
2024-04-30,108.15625
2024-05-01,108.84375
2024-05-02,109.125
2024-05-03,109.609375
2024-05-06,109.640625
2024-05-07,109.765625
2024-05-08,109.578125
2024-05-09,109.84375
2024-05-10,109.453125
2024-05-13,109.59375
2024-05-14,109.859375
2024-05-15,110.5
2024-05-16,110.28125
2024-05-17,109.984375
2024-05-20,109.875
2024-05-21,110.03125
2024-05-22,109.828125
2024-05-23,109.53125
2024-05-24,109.515625
2024-05-27,109.515625
2024-05-28,109.109375
2024-05-29,108.546875
2024-05-30,109.03125
2024-05-31,109.296875
2024-06-03,110.0625
2024-06-04,110.515625
2024-06-05,110.796875
2024-06-06,110.859375
2024-06-07,109.8125
2024-06-10,109.59375
2024-06-11,110.046875
2024-06-12,110.8125
2024-06-13,111.21875
2024-06-14,111.34375
2024-06-17,110.90625
2024-06-18,111.296875
2024-06-19,111.296875
2024-06-20,111.046875
2024-06-21,111.0
2024-06-24,111.03125
2024-06-25,111.09375
2024-06-26,110.5625
2024-06-27,110.75
2024-06-28,110.484375
2024-07-01,109.671875
2024-07-02,109.96875
2024-07-03,110.546875
2024-07-04,110.546875
2024-07-05,111.109375
2024-07-08,111.09375
2024-07-09,110.90625
2024-07-10,111.0
2024-07-11,111.65625
2024-07-12,111.6875
2024-07-15,111.484375
2024-07-16,111.828125
2024-07-17,111.9375
2024-07-18,111.71875
2024-07-19,111.328125
2024-07-22,111.21875
2024-07-23,111.375
2024-07-24,111.171875
2024-07-25,111.296875
2024-07-26,111.703125
2024-07-29,111.84375
2024-07-30,112.0625
2024-07-31,112.3125
2024-08-01,113.25
2024-08-02,114.65625
2024-08-05,114.59375
2024-08-06,113.90625
