date,close
2025-06-10,6085.0
2025-06-11,6085.0
2025-06-12,6085.0
2025-06-16,6085.0
2025-06-17,6085.0
2025-06-18,6085.0
2025-06-23,6085.0
2025-06-24,6085.0
2025-06-25,6085.0
2025-06-26,6085.0
2025-06-27,6173.0
2025-06-30,6205.0
2025-07-01,6198.0
2025-07-02,6228.0
2025-07-03,6280.0
2025-07-07,6230.0
2025-07-08,6226.0
2025-07-09,6264.0
2025-07-10,6281.0
2025-07-11,6260.0
2025-07-14,6269.0
2025-07-15,6244.0
2025-07-16,6264.0
2025-07-17,6298.0
2025-07-18,6297.0
2025-07-21,6306.0
2025-07-22,6310.0
2025-07-23,6359.0
2025-07-24,6364.0
2025-07-25,6389.0
2025-07-28,6390.0
2025-07-29,6371.0
2025-07-30,6363.0
2025-07-31,6340.0
2025-08-01,6238.0
2025-08-04,6330.0
2025-08-05,6299.0
2025-08-06,6345.0
2025-08-07,6340.0
2025-08-08,6390.0
2025-08-11,6374.0
2025-08-12,6446.0
2025-08-13,6467.0
2025-08-14,6469.0
2025-08-15,6450.0
2025-08-18,6449.0
2025-08-19,6412.0
2025-08-20,6396.0
2025-08-21,6370.0
2025-08-22,6467.0
2025-08-25,6440.0
2025-08-26,6466.0
2025-08-27,6482.0
2025-08-28,6502.0
2025-08-29,6461.0
2025-09-02,6416.0
2025-09-03,6449.0
2025-09-04,6502.0
2025-09-05,6482.0
2025-09-08,6495.0
2025-09-09,6513.0
2025-09-10,6532.0
2025-09-11,6588.0
2025-09-12,6585.0
2025-09-15,6616.0
2025-09-16,6607.0
2025-09-17,6601.0
2025-09-18,6632.0
2025-09-19,6665.0
2025-09-22,6694.0
2025-09-23,6657.0
2025-09-24,6638.0
2025-09-25,6605.0
2025-09-26,6644.0
2025-09-29,6661.0
2025-09-30,6689.0
2025-10-01,6711.0
2025-10-02,6716.0
2025-10-03,6716.0
2025-10-06,6741.0
2025-10-07,6715.0
2025-10-08,6754.0
2025-10-09,6735.0
2025-10-10,6553.0
2025-10-13,6655.0
2025-10-14,6645.0
2025-10-15,6671.0
2025-10-16,6629.0
2025-10-17,6664.0
2025-10-20,6735.0
2025-10-21,6736.0
2025-10-22,6700.0
2025-10-23,6739.0
2025-10-24,6792.0
2025-10-27,6875.0
2025-10-28,6891.0
2025-10-29,6891.0
2025-10-30,6823.0
2025-10-31,6840.0
2025-11-03,6852.0
2025-11-04,6772.0
2025-11-05,6797.0
2025-11-06,6721.0
2025-11-07,6729.0
2025-11-10,6833.0
2025-11-11,6847.0
2025-11-12,6851.0
2025-11-13,6738.0
2025-11-14,6734.0
2025-11-17,6673.0
2025-11-18,6618.0
2025-11-19,6642.0
2025-11-20,6539.0
2025-11-21,6603.0
2025-11-24,6705.0
2025-11-25,6766.0
2025-11-26,6813.0
2025-11-28,6849.0
2025-12-01,6813.0
2025-12-02,6830.0
2025-12-03,6850.0
2025-12-04,6857.0
2025-12-05,6871.0
2025-12-08,6847.0
2025-12-09,6841.0
2025-12-10,6887.0
2025-12-11,6901.0
2025-12-12,6828.0
2025-12-15,6817.0
2025-12-16,6801.0
2025-12-17,6722.0
2025-12-18,6775.0
2025-12-19,6835.0
2025-12-22,6879.0
2025-12-23,6910.0
2025-12-24,6932.0
2025-12-26,6930.0
2025-12-29,6906.0
2025-12-30,6896.0
2025-12-31,6846.0
2026-01-02,6859.0
2026-01-05,6902.0
2026-01-06,6945.0
2026-01-07,6921.0
2026-01-08,6922.0
2026-01-09,6967.0
2026-01-12,6978.0
2026-01-13,6964.0
2026-01-14,6927.0
2026-01-15,6945.0
2026-01-16,6940.0
2026-01-20,6797.0
2026-01-21,6876.0
2026-01-22,6914.0
2026-01-23,6916.0
2026-01-26,6950.0
2026-01-27,6979.0
2026-01-28,6978.0
2026-01-29,6969.0
2026-01-30,6939.0
2026-02-02,6977.0
2026-02-03,6918.0
2026-02-04,6883.0
2026-02-05,6799.0
2026-02-06,6933.0
2026-02-09,6965.0
2026-02-10,6942.0
2026-02-11,6942.0
2026-02-12,6833.0
2026-02-13,6836.0
2026-02-17,6843.0
2026-02-18,6882.0
2026-02-19,6862.0
2026-02-20,6910.0
2026-02-23,6838.0
2026-02-24,6890.0
2026-02-25,6946.0
2026-02-26,6909.0
2026-02-27,6879.0
2026-03-02,6882.0
2026-03-03,6817.0
2026-03-04,6870.0
2026-03-05,6831.0
2026-03-06,6740.0
2026-03-09,6796.0
2026-03-10,6782.0
2026-03-11,6776.0
2026-03-12,6673.0
2026-03-13,6632.0
2026-03-16,6700.0
2026-03-17,6716.0
2026-03-18,6625.0
2026-03-19,6607.0
2026-03-20,6507.0
2026-03-23,6581.0
2026-03-24,6557.0
2026-03-25,6592.0
2026-03-26,6477.0
2026-03-27,6369.0
2026-03-30,6344.0
2026-03-31,6529.0
2026-04-01,6576.0
2026-04-02,6583.0
2026-04-03,6583.0
2026-04-06,6612.0
2026-04-07,6617.0
2026-04-08,6783.0
2026-04-09,6825.0
2026-04-10,6817.0
2026-04-13,6886.0
2026-04-14,6968.0
2026-04-15,7023.0
2026-04-16,7042.0
2026-04-17,7126.0
2026-04-20,7109.0
2026-04-21,7064.0
2026-04-22,7138.0
2026-04-23,7109.0
2026-04-24,7165.0
2026-04-27,7174.0
2026-04-28,7139.0
2026-04-29,7136.0
2026-04-30,7209.0
2026-05-01,7230.0
2026-05-04,7201.0
2026-05-05,7259.0
2026-05-06,7365.0
2026-05-07,7337.0
2026-05-08,7399.0
2026-05-11,7413.0
2026-05-12,7401.0
2026-05-13,7444.0
2026-05-14,7501.0
2026-05-15,7409.0
2026-05-18,7403.0
2026-05-19,7354.0
2026-05-20,7433.0
2026-05-21,7446.0
2026-05-22,7474.0
2026-05-26,7519.0
2026-05-27,7521.0
2026-05-28,7564.0
2026-05-29,7580.0
2026-06-01,7600.0
2026-06-02,7610.0
2026-06-03,7554.0
2026-06-04,7585.0
2026-06-05,7384.0
2026-06-08,7406.0
2026-06-09,7387.0
2026-06-10,7267.0
2026-06-11,7395.0
2026-06-12,7432.0
2026-06-15,7555.0
2026-06-16,7512.0
2026-06-17,7420.0
2026-06-18,7501.0
2026-06-22,7473.0
2026-06-23,7366.0
2026-06-24,7358.0
2026-06-25,7358.0
2026-06-26,7354.0
2026-06-29,7441.0
2026-06-30,7500.0
2026-07-01,7483.0
2026-07-02,7483.0
2026-07-06,7538.0
2026-07-07,7504.0
2026-07-08,7483.0
2026-07-09,7544.0
2026-07-10,7576.0
2026-07-13,7516.0
2026-07-14,7544.0
2026-07-15,7573.0
2026-07-16,7534.0
2026-07-17,7487.0
